DateTime,KTF1_Current,KTF1_Power,KTF1_Temp,KTF1_Voltage,KTF1_VSDSpeed(%),KTF1_VSDSpeedHz,KTF1_Run_Status,KTF1_Fault_Status,KTF2_Current,KTF2_Power,KTF2_Temp,KTF2_Voltage,KTF2_VSDSpeed(%),KTF2_VSDSpeedHz,KTF2_Run_Status,KTF2_Fault_Status,KTF3_Current,KTF3_Power,KTF3_Temp,KTF3_Voltage,KTF3_VSDSpeed(%),KTF3_VSDSpeedHz,KTF3_Run_Status,KTF3_Fault_Status,Korumburra CWS TANK.Value(%),Lance Creek CWS Tank.Value (mm),FIT2025 to Korumburra.Value (l/s) from Lance Creek WTP,FIT3033 Flow at KBR.Value (l/s) at Korumburra
2022-08-01 13:50:00,0,0,15,0,0,0,0,0,293.0299988,179.6999969,54,385.8000183,93.13720703,46.56860352,1,0,0,0,16,0,0,0,0,0,76.22999573,4097.810059,53.63999939,54.16999817
2022-08-01 14:00:00,0,0,15,0,0,0,0,0,293.5299988,179.2099915,54,385.8000183,93.13928223,46.56964111,1,0,0,0,16,0,0,0,0,0,77.25999451,4098.949707,53.63999939,54.16999817
2022-08-01 14:10:00,0,0,15,0,0,0,0,0,293.25,180.0099945,54,385.8000183,93.1378479,46.56892395,1,0,0,0,16,0,0,0,0,0,77.58999634,4089.799805,53.07999802,54.09999847
2022-08-01 14:20:00,0,0,15,0,0,0,0,0,293.1000061,180.1499939,54,385.8000183,93.13865662,46.56932831,1,0,0,0,16,0,0,0,0,0,78.27999878,4092.469971,53.07999802,54.09999847
2022-08-01 14:30:00,0,0,15,0,0,0,0,0,292.6000061,180.2899933,54,385.8000183,93.13808441,46.56904221,1,0,0,0,16,0,0,0,0,0,78.27999878,4094,53.07999802,54.09999847
2022-08-01 14:40:00,0,0,15,0,0,0,0,0,293.25,179.8699951,54,385.8000183,93.13987732,46.56993866,1,0,0,0,16,0,0,0,0,0,78.27999878,4092.469971,53.07999802,54.09999847
2022-08-01 14:50:00,0,0,15,0,0,0,0,0,292.3200073,179.8899994,54,385.8000183,93.13925171,46.56962585,1,0,0,0,16,0,0,0,0,0,78.27999878,4079.5,53.07999802,54.09999847
2022-08-01 15:00:00,0,0,15,0,0,0,0,0,293.5299988,180.1100006,54,385.8000183,93.1423645,46.57118225,1,0,0,0,16,0,0,0,0,0,78.27999878,4078.73999,53.07999802,54.09999847
2022-08-01 15:10:00,0,0,15,0,0,0,0,0,293.25,179.75,54,385.8000183,93.14200592,46.57100296,1,0,0,0,16,0,0,0,0,0,79.29000092,4081.409912,53.56999969,54.43000031
2022-08-01 15:20:00,0,0,15,0,0,0,0,0,293.9599915,180.3799896,54,385.8000183,93.14375305,46.57187653,1,0,0,0,16,0,0,0,0,0,79.29000092,4080.639893,53.56999969,54.43000031
2022-08-01 15:30:00,0,0,15,0,0,0,0,0,294.1000061,180.7799988,54,385.8000183,93.14083862,46.57041931,1,0,0,0,16,0,0,0,0,0,79.29000092,4078.73999,53.56999969,54.43000031
2022-08-01 15:40:00,0,0,15,0,0,0,0,0,293.8899841,180.1699982,53,385.8000183,93.14083862,46.57041931,1,0,0,0,16,0,0,0,0,0,79.29000092,4083.699951,53.56999969,54.43000031
2022-08-01 15:50:00,0,0,15,0,0,0,0,0,292.2399902,179.3499908,53,385.8000183,93.13935089,46.56967545,1,0,0,0,16,0,0,0,0,0,79.29000092,4083.699951,53.56999969,54.43000031
